"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"1365226","1.365 s","I²C","Address/data","Start condition","Start",
"1365254","1.365 s","I²C","Address/data","Address write","Address write: 28",
"1365365","1.365 s","I²C","Address/data","Address write","Write",
"1365401","1.365 s","I²C","Address/data","ACK","ACK",
"1365420","1.365 s","I²C","Address/data","Data write","Data write: 03",
"1365563","1.366 s","I²C","Address/data","ACK","ACK",
"1365589","1.366 s","I²C","Address/data","Stop condition","Stop",
"1365599","1.366 s","I²C","Address/data","Start condition","Start",
"1365616","1.366 s","I²C","Address/data","Address read","Address read: 28",
"1365727","1.366 s","I²C","Address/data","Address read","Read",
"1365786","1.366 s","I²C","Address/data","ACK","ACK",
"1365802","1.366 s","I²C","Address/data","Data read","Data read: 01",
"1365929","1.366 s","I²C","Address/data","ACK","ACK",
"1365962","1.366 s","I²C","Address/data","Data read","Data read: 00",
"1366089","1.366 s","I²C","Address/data","NACK","NACK",
"1366165","1.366 s","I²C","Address/data","Stop condition","Stop",
"1366221","1.366 s","I²C","Address/data","Start condition","Start",
"1366249","1.366 s","I²C","Address/data","Address write","Address write: 28",
"1366360","1.366 s","I²C","Address/data","Address write","Write",
"1366396","1.366 s","I²C","Address/data","ACK","ACK",
"1366414","1.366 s","I²C","Address/data","Data write","Data write: 00",
"1366558","1.367 s","I²C","Address/data","ACK","ACK",
"1366576","1.367 s","I²C","Address/data","Data write","Data write: 02",
"1366721","1.367 s","I²C","Address/data","ACK","ACK",
"1366762","1.367 s","I²C","Address/data","Stop condition","Stop",
