"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"1708575","1.709 s","I²C","Address/data","Start condition","Start",
"1708603","1.709 s","I²C","Address/data","Address write","Address write: 28",
"1708714","1.709 s","I²C","Address/data","Address write","Write",
"1708759","1.709 s","I²C","Address/data","ACK","ACK",
"1708776","1.709 s","I²C","Address/data","Data write","Data write: 03",
"1708928","1.709 s","I²C","Address/data","ACK","ACK",
"1708963","1.709 s","I²C","Address/data","Repeat start condition","Start repeat",
"1708979","1.709 s","I²C","Address/data","Address read","Address read: 28",
"1709090","1.709 s","I²C","Address/data","Address read","Read",
"1709129","1.709 s","I²C","Address/data","ACK","ACK",
"1709144","1.709 s","I²C","Address/data","Data read","Data read: 08",
"1709271","1.709 s","I²C","Address/data","ACK","ACK",
"1709304","1.709 s","I²C","Address/data","Data read","Data read: 00",
"1709431","1.709 s","I²C","Address/data","NACK","NACK",
"1709471","1.709 s","I²C","Address/data","Stop condition","Stop",
"1709565","1.710 s","I²C","Address/data","Start condition","Start",
"1709593","1.710 s","I²C","Address/data","Address write","Address write: 28",
"1709704","1.710 s","I²C","Address/data","Address write","Write",
"1709739","1.710 s","I²C","Address/data","ACK","ACK",
"1709755","1.710 s","I²C","Address/data","Data write","Data write: 00",
"1709899","1.710 s","I²C","Address/data","ACK","ACK",
"1709917","1.710 s","I²C","Address/data","Data write","Data write: 02",
"1710063","1.710 s","I²C","Address/data","ACK","ACK",
"1710088","1.710 s","I²C","Address/data","Stop condition","Stop",
"1710124","1.710 s","I²C","Address/data","Start condition","Start",
"1710152","1.710 s","I²C","Address/data","Address write","Address write: 28",
"1710263","1.710 s","I²C","Address/data","Address write","Write",
"1710299","1.710 s","I²C","Address/data","ACK","ACK",
"1710317","1.710 s","I²C","Address/data","Data write","Data write: 01",
"1710465","1.710 s","I²C","Address/data","ACK","ACK",
"1710490","1.710 s","I²C","Address/data","Data write","Data write: 08",
"1710638","1.711 s","I²C","Address/data","ACK","ACK",
"1710663","1.711 s","I²C","Address/data","Stop condition","Stop",
"2687278","2.687 s","I²C","Address/data","Start condition","Start",
"2687306","2.687 s","I²C","Address/data","Address write","Address write: 28",
"2687417","2.687 s","I²C","Address/data","Address write","Write",
"2687453","2.687 s","I²C","Address/data","ACK","ACK",
"2687470","2.687 s","I²C","Address/data","Data write","Data write: 03",
"2687613","2.688 s","I²C","Address/data","ACK","ACK",
"2687639","2.688 s","I²C","Address/data","Stop condition","Stop",
"2687649","2.688 s","I²C","Address/data","Start condition","Start",
"2687666","2.688 s","I²C","Address/data","Address read","Address read: 28",
"2687777","2.688 s","I²C","Address/data","Address read","Read",
"2687816","2.688 s","I²C","Address/data","ACK","ACK",
"2687833","2.688 s","I²C","Address/data","Data read","Data read: 08",
"2687960","2.688 s","I²C","Address/data","ACK","ACK",
"2687994","2.688 s","I²C","Address/data","Data read","Data read: 00",
"2688120","2.688 s","I²C","Address/data","NACK","NACK",
"2688174","2.688 s","I²C","Address/data","Stop condition","Stop",
"2688232","2.688 s","I²C","Address/data","Start condition","Start",
"2688260","2.688 s","I²C","Address/data","Address write","Address write: 28",
"2688371","2.688 s","I²C","Address/data","Address write","Write",
"2688406","2.688 s","I²C","Address/data","ACK","ACK",
"2688425","2.688 s","I²C","Address/data","Data write","Data write: 00",
"2688569","2.689 s","I²C","Address/data","ACK","ACK",
"2688587","2.689 s","I²C","Address/data","Data write","Data write: 02",
"2688732","2.689 s","I²C","Address/data","ACK","ACK",
"2688773","2.689 s","I²C","Address/data","Stop condition","Stop",
"2688793","2.689 s","I²C","Address/data","Start condition","Start",
"2688821","2.689 s","I²C","Address/data","Address write","Address write: 28",
"2688932","2.689 s","I²C","Address/data","Address write","Write",
"2688982","2.689 s","I²C","Address/data","ACK","ACK",
"2689000","2.689 s","I²C","Address/data","Data write","Data write: 01",
"2689151","2.689 s","I²C","Address/data","ACK","ACK",
"2689193","2.689 s","I²C","Address/data","Data write","Data write: 00",
"2689338","2.689 s","I²C","Address/data","ACK","ACK",
"2689363","2.689 s","I²C","Address/data","Stop condition","Stop",
