"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"1548708","1.549 s","I²C","Address/data","Start condition","Start",
"1548736","1.549 s","I²C","Address/data","Address write","Address write: 28",
"1548847","1.549 s","I²C","Address/data","Address write","Write",
"1548882","1.549 s","I²C","Address/data","ACK","ACK",
"1548899","1.549 s","I²C","Address/data","Data write","Data write: 03",
"1549042","1.549 s","I²C","Address/data","ACK","ACK",
"1549068","1.549 s","I²C","Address/data","Stop condition","Stop",
"1549078","1.549 s","I²C","Address/data","Start condition","Start",
"1549095","1.549 s","I²C","Address/data","Address read","Address read: 28",
"1549206","1.549 s","I²C","Address/data","Address read","Read",
"1549245","1.549 s","I²C","Address/data","ACK","ACK",
"1549260","1.549 s","I²C","Address/data","Data read","Data read: 20",
"1549387","1.549 s","I²C","Address/data","ACK","ACK",
"1549446","1.549 s","I²C","Address/data","Data read","Data read: 00",
"1549573","1.550 s","I²C","Address/data","NACK","NACK",
"1549648","1.550 s","I²C","Address/data","Stop condition","Stop",
"1575047","1.575 s","I²C","Address/data","Start condition","Start",
"1575075","1.575 s","I²C","Address/data","Address write","Address write: 28",
"1575186","1.575 s","I²C","Address/data","Address write","Write",
"1575247","1.575 s","I²C","Address/data","ACK","ACK",
"1575264","1.575 s","I²C","Address/data","Data write","Data write: 00",
"1575415","1.575 s","I²C","Address/data","ACK","ACK",
"1575433","1.575 s","I²C","Address/data","Data write","Data write: 02",
"1575587","1.576 s","I²C","Address/data","ACK","ACK",
"1575628","1.576 s","I²C","Address/data","Stop condition","Stop",
"1575686","1.576 s","I²C","Address/data","Start condition","Start",
"1575714","1.576 s","I²C","Address/data","Address write","Address write: 28",
"1575825","1.576 s","I²C","Address/data","Address write","Write",
"1575860","1.576 s","I²C","Address/data","ACK","ACK",
"1575879","1.576 s","I²C","Address/data","Data write","Data write: 01",
"1576023","1.576 s","I²C","Address/data","ACK","ACK",
"1576041","1.576 s","I²C","Address/data","Data write","Data write: 10",
"1576186","1.576 s","I²C","Address/data","ACK","ACK",
"1576211","1.576 s","I²C","Address/data","Stop condition","Stop",
"2702724","2.703 s","I²C","Address/data","Start condition","Start",
"2702752","2.703 s","I²C","Address/data","Address write","Address write: 28",
"2702863","2.703 s","I²C","Address/data","Address write","Write",
"2702919","2.703 s","I²C","Address/data","ACK","ACK",
"2702936","2.703 s","I²C","Address/data","Data write","Data write: 03",
"2703087","2.703 s","I²C","Address/data","ACK","ACK",
"2703123","2.703 s","I²C","Address/data","Repeat start condition","Start repeat",
"2703139","2.703 s","I²C","Address/data","Address read","Address read: 28",
"2703250","2.703 s","I²C","Address/data","Address read","Read",
"2703289","2.703 s","I²C","Address/data","ACK","ACK",
"2703304","2.703 s","I²C","Address/data","Data read","Data read: 20",
"2703431","2.703 s","I²C","Address/data","ACK","ACK",
"2703464","2.703 s","I²C","Address/data","Data read","Data read: 00",
"2703591","2.704 s","I²C","Address/data","NACK","NACK",
"2703666","2.704 s","I²C","Address/data","Stop condition","Stop",
"2729065","2.729 s","I²C","Address/data","Start condition","Start",
"2729093","2.729 s","I²C","Address/data","Address write","Address write: 28",
"2729204","2.729 s","I²C","Address/data","Address write","Write",
"2729239","2.729 s","I²C","Address/data","ACK","ACK",
"2729258","2.729 s","I²C","Address/data","Data write","Data write: 00",
"2729402","2.729 s","I²C","Address/data","ACK","ACK",
"2729420","2.729 s","I²C","Address/data","Data write","Data write: 02",
"2729572","2.730 s","I²C","Address/data","ACK","ACK",
"2729608","2.730 s","I²C","Address/data","Stop condition","Stop",
"2729629","2.730 s","I²C","Address/data","Start condition","Start",
"2729657","2.730 s","I²C","Address/data","Address write","Address write: 28",
"2729768","2.730 s","I²C","Address/data","Address write","Write",
"2729829","2.730 s","I²C","Address/data","ACK","ACK",
"2729847","2.730 s","I²C","Address/data","Data write","Data write: 01",
"2729998","2.730 s","I²C","Address/data","ACK","ACK",
"2730017","2.730 s","I²C","Address/data","Data write","Data write: 00",
"2730169","2.730 s","I²C","Address/data","ACK","ACK",
"2730194","2.730 s","I²C","Address/data","Stop condition","Stop",
