"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"2479023","2.479 s","I²C","Address/data","Start condition","Start",
"2479051","2.479 s","I²C","Address/data","Address write","Address write: 28",
"2479162","2.479 s","I²C","Address/data","Address write","Write",
"2479224","2.479 s","I²C","Address/data","ACK","ACK",
"2479242","2.479 s","I²C","Address/data","Data write","Data write: 03",
"2479392","2.479 s","I²C","Address/data","ACK","ACK",
"2479429","2.479 s","I²C","Address/data","Repeat start condition","Start repeat",
"2479445","2.479 s","I²C","Address/data","Address read","Address read: 28",
"2479556","2.480 s","I²C","Address/data","Address read","Read",
"2479595","2.480 s","I²C","Address/data","ACK","ACK",
"2479612","2.480 s","I²C","Address/data","Data read","Data read: 40",
"2479739","2.480 s","I²C","Address/data","ACK","ACK",
"2479772","2.480 s","I²C","Address/data","Data read","Data read: 00",
"2479898","2.480 s","I²C","Address/data","NACK","NACK",
"2479938","2.480 s","I²C","Address/data","Stop condition","Stop",
"2479988","2.480 s","I²C","Address/data","Start condition","Start",
"2480016","2.480 s","I²C","Address/data","Address write","Address write: 28",
"2480127","2.480 s","I²C","Address/data","Address write","Write",
"2480163","2.480 s","I²C","Address/data","ACK","ACK",
"2480181","2.480 s","I²C","Address/data","Data write","Data write: 00",
"2480332","2.480 s","I²C","Address/data","ACK","ACK",
"2480350","2.480 s","I²C","Address/data","Data write","Data write: 02",
"2480503","2.481 s","I²C","Address/data","ACK","ACK",
"2480542","2.481 s","I²C","Address/data","Stop condition","Stop",
"2531112","2.531 s","I²C","Address/data","Start condition","Start",
"2531140","2.531 s","I²C","Address/data","Address write","Address write: 28",
"2531251","2.531 s","I²C","Address/data","Address write","Write",
"2531287","2.531 s","I²C","Address/data","ACK","ACK",
"2531303","2.531 s","I²C","Address/data","Data write","Data write: 03",
"2531447","2.531 s","I²C","Address/data","ACK","ACK",
"2531483","2.531 s","I²C","Address/data","Repeat start condition","Start repeat",
"2531499","2.531 s","I²C","Address/data","Address read","Address read: 28",
"2531610","2.532 s","I²C","Address/data","Address read","Read",
"2531683","2.532 s","I²C","Address/data","ACK","ACK",
"2531699","2.532 s","I²C","Address/data","Data read","Data read: 80",
"2531826","2.532 s","I²C","Address/data","ACK","ACK",
"2531859","2.532 s","I²C","Address/data","Data read","Data read: 00",
"2531986","2.532 s","I²C","Address/data","NACK","NACK",
"2532025","2.532 s","I²C","Address/data","Stop condition","Stop",
"2532078","2.532 s","I²C","Address/data","Start condition","Start",
"2532106","2.532 s","I²C","Address/data","Address write","Address write: 28",
"2532217","2.532 s","I²C","Address/data","Address write","Write",
"2532276","2.532 s","I²C","Address/data","ACK","ACK",
"2532294","2.532 s","I²C","Address/data","Data write","Data write: 00",
"2532445","2.532 s","I²C","Address/data","ACK","ACK",
"2532461","2.532 s","I²C","Address/data","Data write","Data write: 02",
"2532617","2.533 s","I²C","Address/data","ACK","ACK",
"2532658","2.533 s","I²C","Address/data","Stop condition","Stop",
"2583202","2.583 s","I²C","Address/data","Start condition","Start",
"2583230","2.583 s","I²C","Address/data","Address write","Address write: 28",
"2583341","2.583 s","I²C","Address/data","Address write","Write",
"2583376","2.583 s","I²C","Address/data","ACK","ACK",
"2583393","2.583 s","I²C","Address/data","Data write","Data write: 03",
"2583537","2.584 s","I²C","Address/data","ACK","ACK",
"2583562","2.584 s","I²C","Address/data","Stop condition","Stop",
"2583572","2.584 s","I²C","Address/data","Start condition","Start",
"2583589","2.584 s","I²C","Address/data","Address read","Address read: 28",
"2583700","2.584 s","I²C","Address/data","Address read","Read",
"2583739","2.584 s","I²C","Address/data","ACK","ACK",
"2583756","2.584 s","I²C","Address/data","Data read","Data read: 80",
"2583883","2.584 s","I²C","Address/data","ACK","ACK",
"2583916","2.584 s","I²C","Address/data","Data read","Data read: 00",
"2584042","2.584 s","I²C","Address/data","NACK","NACK",
"2584082","2.584 s","I²C","Address/data","Stop condition","Stop",
"2584134","2.584 s","I²C","Address/data","Start condition","Start",
"2584162","2.584 s","I²C","Address/data","Address write","Address write: 28",
"2584273","2.584 s","I²C","Address/data","Address write","Write",
"2584308","2.584 s","I²C","Address/data","ACK","ACK",
"2584327","2.584 s","I²C","Address/data","Data write","Data write: 00",
"2584472","2.584 s","I²C","Address/data","ACK","ACK",
"2584489","2.584 s","I²C","Address/data","Data write","Data write: 02",
"2584645","2.585 s","I²C","Address/data","ACK","ACK",
"2584700","2.585 s","I²C","Address/data","Stop condition","Stop",
"2635291","2.635 s","I²C","Address/data","Start condition","Start",
"2635319","2.635 s","I²C","Address/data","Address write","Address write: 28",
"2635430","2.635 s","I²C","Address/data","Address write","Write",
"2635475","2.635 s","I²C","Address/data","ACK","ACK",
"2635492","2.635 s","I²C","Address/data","Data write","Data write: 03",
"2635644","2.636 s","I²C","Address/data","ACK","ACK",
"2635681","2.636 s","I²C","Address/data","Repeat start condition","Start repeat",
"2635697","2.636 s","I²C","Address/data","Address read","Address read: 28",
"2635808","2.636 s","I²C","Address/data","Address read","Read",
"2635847","2.636 s","I²C","Address/data","ACK","ACK",
"2635864","2.636 s","I²C","Address/data","Data read","Data read: 80",
"2635991","2.636 s","I²C","Address/data","ACK","ACK",
"2636025","2.636 s","I²C","Address/data","Data read","Data read: 00",
"2636152","2.636 s","I²C","Address/data","NACK","NACK",
"2636191","2.636 s","I²C","Address/data","Stop condition","Stop",
"2636243","2.636 s","I²C","Address/data","Start condition","Start",
"2636271","2.636 s","I²C","Address/data","Address write","Address write: 28",
"2636382","2.636 s","I²C","Address/data","Address write","Write",
"2636417","2.636 s","I²C","Address/data","ACK","ACK",
"2636436","2.636 s","I²C","Address/data","Data write","Data write: 00",
"2636584","2.637 s","I²C","Address/data","ACK","ACK",
"2636602","2.637 s","I²C","Address/data","Data write","Data write: 02",
"2636756","2.637 s","I²C","Address/data","ACK","ACK",
"2636811","2.637 s","I²C","Address/data","Stop condition","Stop",
"2737467","2.737 s","I²C","Address/data","Start condition","Start",
"2737495","2.737 s","I²C","Address/data","Address write","Address write: 28",
"2737606","2.738 s","I²C","Address/data","Address write","Write",
"2737653","2.738 s","I²C","Address/data","ACK","ACK",
"2737670","2.738 s","I²C","Address/data","Data write","Data write: 03",
"2737821","2.738 s","I²C","Address/data","ACK","ACK",
"2737856","2.738 s","I²C","Address/data","Repeat start condition","Start repeat",
"2737873","2.738 s","I²C","Address/data","Address read","Address read: 28",
"2737984","2.738 s","I²C","Address/data","Address read","Read",
"2738022","2.738 s","I²C","Address/data","ACK","ACK",
"2738038","2.738 s","I²C","Address/data","Data read","Data read: 40",
"2738164","2.738 s","I²C","Address/data","ACK","ACK",
"2738198","2.738 s","I²C","Address/data","Data read","Data read: 00",
"2738325","2.738 s","I²C","Address/data","NACK","NACK",
"2738365","2.738 s","I²C","Address/data","Stop condition","Stop",
"2738416","2.738 s","I²C","Address/data","Start condition","Start",
"2738444","2.738 s","I²C","Address/data","Address write","Address write: 28",
"2738555","2.739 s","I²C","Address/data","Address write","Write",
"2738592","2.739 s","I²C","Address/data","ACK","ACK",
"2738611","2.739 s","I²C","Address/data","Data write","Data write: 00",
"2738761","2.739 s","I²C","Address/data","ACK","ACK",
"2738778","2.739 s","I²C","Address/data","Data write","Data write: 02",
"2738933","2.739 s","I²C","Address/data","ACK","ACK",
"2738987","2.739 s","I²C","Address/data","Stop condition","Stop",
"2839654","2.840 s","I²C","Address/data","Start condition","Start",
"2839670","2.840 s","I²C","Address/data","Address write","Address write: 28",
"2839781","2.840 s","I²C","Address/data","Address write","Write",
"2839832","2.840 s","I²C","Address/data","ACK","ACK",
"2839850","2.840 s","I²C","Address/data","Data write","Data write: 03",
"2840001","2.840 s","I²C","Address/data","ACK","ACK",
"2840037","2.840 s","I²C","Address/data","Repeat start condition","Start repeat",
"2840053","2.840 s","I²C","Address/data","Address read","Address read: 28",
