"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"1851400","1.851 s","I²C","Address/data","Start condition","Start",
"1851428","1.851 s","I²C","Address/data","Address write","Address write: 28",
"1851539","1.852 s","I²C","Address/data","Address write","Write",
"1851604","1.852 s","I²C","Address/data","ACK","ACK",
"1851622","1.852 s","I²C","Address/data","Data write","Data write: 03",
"1851773","1.852 s","I²C","Address/data","ACK","ACK",
"1851798","1.852 s","I²C","Address/data","Stop condition","Stop",
"1851808","1.852 s","I²C","Address/data","Start condition","Start",
"1851825","1.852 s","I²C","Address/data","Address read","Address read: 28",
"1851936","1.852 s","I²C","Address/data","Address read","Read",
"1851975","1.852 s","I²C","Address/data","ACK","ACK",
"1851990","1.852 s","I²C","Address/data","Data read","Data read: 02",
"1852117","1.852 s","I²C","Address/data","ACK","ACK",
"1852150","1.852 s","I²C","Address/data","Data read","Data read: 00",
"1852277","1.852 s","I²C","Address/data","NACK","NACK",
"1852316","1.852 s","I²C","Address/data","Stop condition","Stop",
"1852371","1.852 s","I²C","Address/data","Start condition","Start",
"1852399","1.852 s","I²C","Address/data","Address write","Address write: 28",
"1852510","1.853 s","I²C","Address/data","Address write","Write",
"1852545","1.853 s","I²C","Address/data","ACK","ACK",
"1852564","1.853 s","I²C","Address/data","Data write","Data write: 00",
"1852713","1.853 s","I²C","Address/data","ACK","ACK",
"1852731","1.853 s","I²C","Address/data","Data write","Data write: 02",
"1852885","1.853 s","I²C","Address/data","ACK","ACK",
"1852923","1.853 s","I²C","Address/data","Stop condition","Stop",
